Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.12-188.75.0.84-0-0-0,134.221.96.12,0,188.75.0.84,0,0,30/05/2025 07:07:13 PM,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000.0,125000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-97.177.3.103-0-0-0,134.221.96.0,0,97.177.3.103,0,0,30/05/2025 07:06:59 PM,16,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,16.0,0.0,16.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62500.0,62500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.11-99.30.0.170-0-0-0,134.221.96.11,0,99.30.0.170,0,0,30/05/2025 07:07:10 PM,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399999.99999999994,5.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199999.99999999997,199999.99999999997,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.11-99.30.1.127-0-0-0,134.221.96.11,0,99.30.1.127,0,0,30/05/2025 07:07:21 PM,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90909.09090909091,90909.09090909091,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.10-84.156.3.58-0-0-0,134.221.96.10,0,84.156.3.58,0,0,30/05/2025 07:07:20 PM,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199999.99999999997,10.0,0.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999.99999999999,99999.99999999999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.10-231.27.0.50-0-0-0,134.221.96.10,0,231.27.0.50,0,0,30/05/2025 07:07:20 PM,7134427,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5606617041564795,2378142.333333333,4119052.95665901,7134415.0,5.0,7134422.0,3567211.0,5044788.276551554,7134415.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0.4204962781173597,0.14016542603911988,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,5.0,0.0,5.0,5.0,7134415.0,0.0,7134415.0,7134415.0,No Label
134.221.96.2-142.124.0.144-0-0-0,134.221.96.2,0,142.124.0.144,0,0,30/05/2025 07:07:37 PM,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000.0,125000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.2-102.23.0.40-0-0-0,134.221.96.2,0,102.23.0.40,0,0,30/05/2025 07:07:39 PM,9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222222.22222222222,9.0,0.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111111.11111111111,111111.11111111111,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-62677-53-17,192.168.198.130,62677,192.168.198.15,53,17,30/05/2025 07:07:03 PM,77133,1,2,34.0,120.0,34.0,34.0,34.0,0.0,86.0,34.0,60.0,36.76955262170047,1996.5514111988387,38.89385865971764,38566.5,54534.1962854501,77128.0,5.0,0,0,0,0,0,77133.0,77133.0,0.0,77133.0,77133.0,0,0,0,0,8,16,12.964619553239212,25.929239106478423,34.0,86.0,47.0,26.0,676.0,0,0,0,0,0,0,0,0,2.0,62.666666666666664,34.0,60.0,0,0,0,0,0,0,1,34,2,120,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
134.221.96.2-110.194.0.146-0-0-0,134.221.96.2,0,110.194.0.146,0,0,30/05/2025 07:07:06 PM,158629,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.21607020153944,52876.33333333333,91570.63945028087,158613.0,7.0,158620.0,79310.0,112151.37813687355,158613.0,7.0,0,0,0,0,0,0,0,0,0,0,0,18.912052651154582,6.30401755038486,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-56922-53-17,192.168.198.130,56922,192.168.198.15,53,17,30/05/2025 07:07:05 PM,338350,1,2,49.0,155.0,49.0,49.0,49.0,0.0,106.0,49.0,77.5,40.30508652763321,602.9259642382149,8.866558297620807,169175.0,239242.50834665648,338345.0,5.0,0,0,0,0,0,338350.0,338350.0,0.0,338350.0,338350.0,0,0,0,0,8,16,2.955519432540269,5.911038865080538,49.0,106.0,63.25,28.5,812.25,0,0,0,0,0,0,0,0,2.0,84.33333333333333,49.0,77.5,0,0,0,0,0,0,1,49,2,155,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-52671-53-17,192.168.198.130,52671,192.168.198.15,53,17,30/05/2025 07:07:32 PM,66976,1,2,37.0,244.0,37.0,37.0,37.0,0.0,207.0,37.0,122.0,120.20815280171308,4195.532728141424,44.79216435738175,33488.0,47350.69849537597,66970.0,6.0,0,0,0,0,0,66976.0,66976.0,0.0,66976.0,66976.0,0,0,0,0,8,16,14.930721452460585,29.86144290492117,37.0,207.0,79.5,85.0,7225.0,0,0,0,0,0,0,0,0,2.0,106.0,37.0,122.0,0,0,0,0,0,0,1,37,2,244,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
134.221.96.10-231.27.0.119-0-0-0,134.221.96.10,0,231.27.0.119,0,0,30/05/2025 07:07:03 PM,27745,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.17012074247612,9248.333333333332,16004.726937168698,27729.0,6.0,27735.0,13867.5,19603.12129483466,27729.0,6.0,0,0,0,0,0,0,0,0,0,0,0,108.1275905568571,36.04253018561903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.12-25.159.2.253-0-0-0,134.221.96.12,0,25.159.2.253,0,0,30/05/2025 07:07:38 PM,9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222222.22222222222,9.0,0.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111111.11111111111,111111.11111111111,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.13-98.110.0.112-0-0-0,134.221.96.13,0,98.110.0.112,0,0,30/05/2025 07:07:20 PM,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.3-208.175.0.45-0-0-0,134.221.96.3,0,208.175.0.45,0,0,30/05/2025 07:06:58 PM,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166666.66666666666,166666.66666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-52621-53-17,192.168.198.130,52621,192.168.198.15,53,17,30/05/2025 07:07:28 PM,54364,1,2,31.0,160.0,31.0,31.0,31.0,0.0,129.0,31.0,80.0,69.29646455628166,3513.3544257229046,55.18357736737546,27182.0,38435.49619817598,54360.0,4.0,0,0,0,0,0,54364.0,54364.0,0.0,54364.0,54364.0,0,0,0,0,8,16,18.394525789125154,36.78905157825031,31.0,129.0,55.5,49.0,2401.0,0,0,0,0,0,0,0,0,2.0,74.0,31.0,80.0,0,0,0,0,0,0,1,31,2,160,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
